id,value
NGI,
NGI.Building a Safer Online Environment,
NGI.Building a Safer Online Environment.anti-semit,
NGI.Building a Safer Online Environment.anti-semit.anti-semit,
NGI.Building a Safer Online Environment.anti-semit.t-seri,
NGI.Building a Safer Online Environment.anti-semit.kjellberg,
NGI.Building a Safer Online Environment.anti-semit.gab,
NGI.Building a Safer Online Environment.anti-semit.jewish,
NGI.Building a Safer Online Environment.anti-semit.witt,
NGI.Building a Safer Online Environment.anti-semit.soro,
NGI.Building a Safer Online Environment.anti-semit.facebook,
NGI.Building a Safer Online Environment.anti-semit.183,
NGI.Building a Safer Online Environment.anti-semit.white_supremacist,
NGI.Building a Safer Online Environment.health,
NGI.Building a Safer Online Environment.health.vaccin,
NGI.Building a Safer Online Environment.health.ai,
NGI.Building a Safer Online Environment.health.blood_pressur,
NGI.Building a Safer Online Environment.health.my_health,
NGI.Building a Safer Online Environment.health.mental_health,
NGI.Building a Safer Online Environment.health.facebook,
NGI.Building a Safer Online Environment.health.ziplin,
NGI.Building a Safer Online Environment.health.seri_4,
NGI.Building a Safer Online Environment.health.versa,
NGI.Building a Safer Online Environment.health.e-cigarett,
NGI.Competitive European Ecosystems,
NGI.Competitive European Ecosystems.content_moder,
NGI.Competitive European Ecosystems.content_moder.comput_propaganda,
NGI.Competitive European Ecosystems.content_moder.content_moder,
NGI.Competitive European Ecosystems.content_moder.facebook,
NGI.Competitive European Ecosystems.content_moder.tripadvisor,
NGI.Competitive European Ecosystems.content_moder.fake_account,
NGI.Competitive European Ecosystems.content_moder.foreign_agent,
NGI.Competitive European Ecosystems.content_moder.spread_divis,
NGI.Competitive European Ecosystems.content_moder.state_actor,
NGI.Competitive European Ecosystems.content_moder.conspiratori,
NGI.Competitive European Ecosystems.content_moder.seznam,
NGI.Competitive European Ecosystems.democraci,
NGI.Competitive European Ecosystems.democraci.design-driven,
NGI.Competitive European Ecosystems.democraci.facebook,
NGI.Competitive European Ecosystems.democraci.netblock,
NGI.Competitive European Ecosystems.democraci.toker,
NGI.Competitive European Ecosystems.democraci.comput_propaganda,
NGI.Competitive European Ecosystems.democraci.cdt,
NGI.Competitive European Ecosystems.democraci.fake_news,
NGI.Competitive European Ecosystems.democraci.doug_engelbart,
NGI.Competitive European Ecosystems.democraci.kania,
NGI.Competitive European Ecosystems.democraci.project_dragonfli,
NGI.Competitive European Ecosystems.facial_recognit,
NGI.Competitive European Ecosystems.facial_recognit.facial_recognit,
NGI.Competitive European Ecosystems.facial_recognit.face_recognit,
NGI.Competitive European Ecosystems.facial_recognit.rekognit,
NGI.Competitive European Ecosystems.facial_recognit.face_id,
NGI.Competitive European Ecosystems.facial_recognit.iphon_x,
NGI.Competitive European Ecosystems.facial_recognit.ai,
NGI.Competitive European Ecosystems.facial_recognit.mikel,
NGI.Competitive European Ecosystems.facial_recognit.byton,
NGI.Competitive European Ecosystems.facial_recognit.kairo,
NGI.Competitive European Ecosystems.facial_recognit.autonom_weapon,
NGI.Competitive European Ecosystems.surveil_capit,
NGI.Competitive European Ecosystems.surveil_capit.​,
NGI.Competitive European Ecosystems.surveil_capit.surveil_capit,
NGI.Competitive European Ecosystems.surveil_capit.cavoukian,
NGI.Competitive European Ecosystems.surveil_capit.waterfront_toronto,
NGI.Competitive European Ecosystems.surveil_capit.yuval_noah,
NGI.Competitive European Ecosystems.surveil_capit.ja,
NGI.Competitive European Ecosystems.surveil_capit.rh,
NGI.Competitive European Ecosystems.surveil_capit.shoshana_zuboff,
NGI.Competitive European Ecosystems.surveil_capit.tp,
NGI.Competitive European Ecosystems.surveil_capit.harari,
NGI.Creating an Inclusive Internet,
NGI.Creating an Inclusive Internet.netizen,
NGI.Creating an Inclusive Internet.netizen.netizen,
NGI.Creating an Inclusive Internet.netizen.pro-democraci,
NGI.Creating an Inclusive Internet.netizen.china,
NGI.Creating an Inclusive Internet.netizen.aliexpress,
NGI.Creating an Inclusive Internet.netizen.pinduoduo,
NGI.Creating an Inclusive Internet.netizen.chines,
NGI.Creating an Inclusive Internet.netizen.jacki_cheung,
NGI.Creating an Inclusive Internet.netizen.vpn_app,
NGI.Creating an Inclusive Internet.netizen.separat,
NGI.Creating an Inclusive Internet.netizen.censorship,
NGI.Decentralising Power on the Internet,
NGI.Decentralising Power on the Internet.blockchain-bas,
NGI.Decentralising Power on the Internet.blockchain-bas.irish_border,
NGI.Decentralising Power on the Internet.blockchain-bas.blockchain-bas,
NGI.Decentralising Power on the Internet.blockchain-bas.cryptocurr,
NGI.Decentralising Power on the Internet.blockchain-bas.token,
NGI.Decentralising Power on the Internet.blockchain-bas.crypto,
NGI.Decentralising Power on the Internet.blockchain-bas.cryptokitti,
NGI.Decentralising Power on the Internet.blockchain-bas.ico,
NGI.Decentralising Power on the Internet.blockchain-bas.bitchut,
NGI.Decentralising Power on the Internet.blockchain-bas.venezuela,
NGI.Decentralising Power on the Internet.blockchain-bas.initi_coin,
NGI.Decentralising Power on the Internet.competit,
NGI.Decentralising Power on the Internet.competit.amazon,
NGI.Decentralising Power on the Internet.competit.facebook,
NGI.Decentralising Power on the Internet.competit.ai,
NGI.Decentralising Power on the Internet.competit.china,
NGI.Decentralising Power on the Internet.competit.5g,
NGI.Decentralising Power on the Internet.competit.huawei,
NGI.Decentralising Power on the Internet.competit.chines,
NGI.Decentralising Power on the Internet.competit.2018,
NGI.Decentralising Power on the Internet.competit.qualcomm,
NGI.Decentralising Power on the Internet.competit.pai,
NGI.Decentralising Power on the Internet.crypto,
NGI.Decentralising Power on the Internet.crypto.crypto,
NGI.Decentralising Power on the Internet.crypto.cryptocurr,
NGI.Decentralising Power on the Internet.crypto.qkd,
NGI.Decentralising Power on the Internet.crypto.dansk_bank,
NGI.Decentralising Power on the Internet.crypto.cme,
NGI.Decentralising Power on the Internet.crypto.facecoin,
NGI.Decentralising Power on the Internet.crypto.seb,
NGI.Decentralising Power on the Internet.crypto.royal_mint,
NGI.Decentralising Power on the Internet.crypto.coinbas,
NGI.Decentralising Power on the Internet.crypto.token,
NGI.Decentralising Power on the Internet.cryptocurr,
NGI.Decentralising Power on the Internet.cryptocurr.cryptocurr,
NGI.Decentralising Power on the Internet.cryptocurr.coinbas,
NGI.Decentralising Power on the Internet.cryptocurr.token,
NGI.Decentralising Power on the Internet.cryptocurr.crypto,
NGI.Decentralising Power on the Internet.cryptocurr.ico,
NGI.Decentralising Power on the Internet.cryptocurr.cryptoasset,
NGI.Decentralising Power on the Internet.cryptocurr.initi_coin,
NGI.Decentralising Power on the Internet.cryptocurr.monero,
NGI.Decentralising Power on the Internet.cryptocurr.cryptocurr_exchang,
NGI.Decentralising Power on the Internet.cryptocurr.bitcoin_cash,
NGI.Decentralising Power on the Internet.gafa,
NGI.Decentralising Power on the Internet.gafa.gafa,
NGI.Decentralising Power on the Internet.gafa.cédric_villani,
NGI.Decentralising Power on the Internet.gafa.alexandr,
NGI.Decentralising Power on the Internet.gafa.les_echo,
NGI.Decentralising Power on the Internet.gafa.je,
NGI.Decentralising Power on the Internet.gafa.faut,
NGI.Decentralising Power on the Internet.gafa.ai,
NGI.Decentralising Power on the Internet.gafa.goth,
NGI.Decentralising Power on the Internet.gafa.cédric_o,
NGI.Decentralising Power on the Internet.gafa.cabinet_member,
NGI.Decentralising Power on the Internet.ico,
NGI.Decentralising Power on the Internet.ico.ico,
NGI.Decentralising Power on the Internet.ico.cryptocurr,
NGI.Decentralising Power on the Internet.ico.initi_coin,
NGI.Decentralising Power on the Internet.ico.token,
NGI.Decentralising Power on the Internet.ico.inform_commission,
NGI.Decentralising Power on the Internet.ico.sec,
NGI.Decentralising Power on the Internet.ico.cambridg_analytica,
NGI.Decentralising Power on the Internet.ico.tenreiro,
NGI.Decentralising Power on the Internet.ico.denham,
NGI.Decentralising Power on the Internet.ico.cryptoasset,
NGI.Sustainable and Climate-friendly Internet,
NGI.Sustainable and Climate-friendly Internet.blockchain,
NGI.Sustainable and Climate-friendly Internet.blockchain.cryptocurr,
NGI.Sustainable and Climate-friendly Internet.blockchain.token,
NGI.Sustainable and Climate-friendly Internet.blockchain.carlson,
NGI.Sustainable and Climate-friendly Internet.blockchain.crypto,
NGI.Sustainable and Climate-friendly Internet.blockchain.bitcoin_cash,
NGI.Sustainable and Climate-friendly Internet.blockchain.ico,
NGI.Sustainable and Climate-friendly Internet.blockchain.blockchain-bas,
NGI.Sustainable and Climate-friendly Internet.blockchain.initi_coin,
NGI.Sustainable and Climate-friendly Internet.blockchain.cryptokitti,
NGI.Sustainable and Climate-friendly Internet.blockchain.ice_tea,
NGI.Sustainable and Climate-friendly Internet.climat,
NGI.Sustainable and Climate-friendly Internet.climat.climat,
NGI.Sustainable and Climate-friendly Internet.climat.climat_chang,
NGI.Sustainable and Climate-friendly Internet.climat.glas,
NGI.Sustainable and Climate-friendly Internet.climat.gerri,
NGI.Sustainable and Climate-friendly Internet.climat.probabilist_comput,
NGI.Sustainable and Climate-friendly Internet.climat.iota,
NGI.Sustainable and Climate-friendly Internet.climat.erika,
NGI.Sustainable and Climate-friendly Internet.climat.renew_energi,
NGI.Sustainable and Climate-friendly Internet.climat.uhlig,
NGI.Sustainable and Climate-friendly Internet.climat.global_warm,
NGI.Sustainable and Climate-friendly Internet.ipcc,
NGI.Sustainable and Climate-friendly Internet.ipcc.ipcc,
NGI.Sustainable and Climate-friendly Internet.ipcc.cell-bas,
NGI.Sustainable and Climate-friendly Internet.ipcc.intergovernment_panel,
NGI.Sustainable and Climate-friendly Internet.ipcc.climat_chang,
NGI.Sustainable and Climate-friendly Internet.ipcc.global_warm,
NGI.Sustainable and Climate-friendly Internet.ipcc.clean_meat,
NGI.Sustainable and Climate-friendly Internet.ipcc.climat,
NGI.Sustainable and Climate-friendly Internet.ipcc.overshoot,
NGI.Sustainable and Climate-friendly Internet.ipcc.geoengin,
NGI.Sustainable and Climate-friendly Internet.ipcc.pari_agreement,
NGI.Towards Data Sovereignty and Autonomy,
NGI.Towards Data Sovereignty and Autonomy.cambridg_analytica,
NGI.Towards Data Sovereignty and Autonomy.cambridg_analytica.cambridg_analytica,
NGI.Towards Data Sovereignty and Autonomy.cambridg_analytica.facebook,
NGI.Towards Data Sovereignty and Autonomy.cambridg_analytica.it-rel,
NGI.Towards Data Sovereignty and Autonomy.cambridg_analytica.electron_health,
NGI.Towards Data Sovereignty and Autonomy.cambridg_analytica.lambert,
NGI.Towards Data Sovereignty and Autonomy.cambridg_analytica.entir_prevent,
NGI.Towards Data Sovereignty and Autonomy.cambridg_analytica.subaru,
NGI.Towards Data Sovereignty and Autonomy.cambridg_analytica.ehr,
NGI.Towards Data Sovereignty and Autonomy.cambridg_analytica.zuckerberg,
NGI.Towards Data Sovereignty and Autonomy.cambridg_analytica.flight_cancel,
NGI.Towards Data Sovereignty and Autonomy.cybersecur,
NGI.Towards Data Sovereignty and Autonomy.cybersecur.huawei,
NGI.Towards Data Sovereignty and Autonomy.cybersecur.equifax,
NGI.Towards Data Sovereignty and Autonomy.cybersecur.china,
NGI.Towards Data Sovereignty and Autonomy.cybersecur.facebook,
NGI.Towards Data Sovereignty and Autonomy.cybersecur.cyber_secur,
NGI.Towards Data Sovereignty and Autonomy.cybersecur.nso,
NGI.Towards Data Sovereignty and Autonomy.cybersecur.chines,
NGI.Towards Data Sovereignty and Autonomy.cybersecur.ncsc,
NGI.Towards Data Sovereignty and Autonomy.cybersecur.nation_cyber,
NGI.Towards Data Sovereignty and Autonomy.cybersecur.secur_centr,
NGI.Towards Data Sovereignty and Autonomy.cybersecur_standard,
NGI.Towards Data Sovereignty and Autonomy.cybersecur_standard.ww,
NGI.Towards Data Sovereignty and Autonomy.cybersecur_standard.amaz_stori,
NGI.Towards Data Sovereignty and Autonomy.cybersecur_standard.sqn,
NGI.Towards Data Sovereignty and Autonomy.cybersecur_standard.latest_flagship,
NGI.Towards Data Sovereignty and Autonomy.cybersecur_standard.fin7,
NGI.Towards Data Sovereignty and Autonomy.cybersecur_standard.angle-of-attack,
NGI.Towards Data Sovereignty and Autonomy.cybersecur_standard.team_human,
NGI.Towards Data Sovereignty and Autonomy.cybersecur_standard.comput_intrus,
NGI.Towards Data Sovereignty and Autonomy.cybersecur_standard.quiet_titl,
NGI.Towards Data Sovereignty and Autonomy.cybersecur_standard.gordon_sondland,
NGI.Towards Data Sovereignty and Autonomy.data_breach,
NGI.Towards Data Sovereignty and Autonomy.data_breach.equifax,
NGI.Towards Data Sovereignty and Autonomy.data_breach.facebook,
NGI.Towards Data Sovereignty and Autonomy.data_breach.gdpr,
NGI.Towards Data Sovereignty and Autonomy.data_breach.cambridg_analytica,
NGI.Towards Data Sovereignty and Autonomy.data_breach.dpo,
NGI.Towards Data Sovereignty and Autonomy.data_breach.zuckerberg,
NGI.Towards Data Sovereignty and Autonomy.data_breach.within_72,
NGI.Towards Data Sovereignty and Autonomy.data_breach.scandal,
NGI.Towards Data Sovereignty and Autonomy.data_breach.data_broker,
NGI.Towards Data Sovereignty and Autonomy.data_breach.equifax_breach,
